gene,in_full_run,n_loo_runs_present,stable
ABCA13,True,3,False
ABCA3,True,3,False
ACADL,True,5,True
ACVRL1,True,3,False
ADAM17,True,3,False
ADAMTS14,True,3,False
AFF3,True,5,True
AGER,True,3,False
AKAP13,True,3,False
ANXA3,True,3,False
AOC3,True,3,False
ASPN,True,5,True
BCHE,True,5,True
BMP4,True,5,True
C12orf75,True,5,True
CA2,True,3,False
CA4,True,5,True
CACNA2D2,True,3,False
CCL21,True,2,False
CDH13,True,3,False
CDH2,True,3,False
CDH3,True,5,True
CDH5,True,3,False
CFH,True,5,True
CHI3L2,True,3,False
CLCA2,True,3,False
CLDN1,True,3,False
CLEC4E,True,5,True
COL14A1,True,3,False
COL15A1,True,5,True
COL17A1,True,5,True
COL1A1,True,5,True
COL1A2,True,5,True
COL3A1,True,3,False
COL5A1,True,3,False
COL5A2,True,3,False
COL6A3,True,3,False
COMP,True,5,True
CPA3,True,3,False
CRTAC1,True,5,True
CSF3R,True,5,True
CTSK,True,3,False
CXCL1,True,3,False
CXCL12,True,5,True
CXCL13,True,3,False
CXCL14,True,5,True
CXCL8,True,2,False
DCLK1,True,5,True
DIO2,True,5,True
EDNRB,True,5,True
ENG,True,3,False
EPHA3,True,5,True
FAM107A,True,5,True
FAP,True,3,False
FCN3,True,3,False
FGF1,True,5,True
FGF7,True,2,False
FKBP5,True,5,True
FMO5,True,5,True
FN1,True,3,False
FNDC1,True,5,True
FPR1,True,5,True
GEM,True,3,False
GPNMB,True,3,False
GPR4,True,5,True
GPR87,True,5,True
GPX3,True,5,True
GREM1,True,3,False
GREM2,True,3,False
GSTA1,True,3,False
HGF,True,3,False
HHIP,True,3,False
HHLA2,True,5,True
HIF3A,True,5,True
HMCN1,True,4,False
HS6ST2,True,3,False
HSD17B6,True,5,True
HSPA4L,True,3,False
ID1,True,3,False
IFNG,True,3,False
IGF1,True,3,False
IGFL2,True,4,False
IL13RA2,True,5,True
IL18R1,True,5,True
IL18RAP,True,5,True
IL1R2,True,5,True
IL1RL1,True,5,True
IL1RN,False,1,False
IL33,True,3,False
IL6,True,3,False
ITGA11,True,3,False
ITGA5,True,3,False
ITGAV,True,3,False
ITGB8,True,4,False
IVD,True,3,False
JAG2,False,1,False
KDR,True,3,False
KRT14,True,5,True
KRT15,True,5,True
KRT17,True,5,True
KRT5,True,5,True
LAMA3,True,3,False
LIN7A,True,3,False
LOXL2,True,3,False
LPL,True,3,False
LRRC17,True,5,True
LRRN1,True,5,True
LTBP1,True,5,True
LUM,True,3,False
MARCKS,True,3,False
MGAM,True,3,False
MME,True,3,False
MMP1,True,3,False
MMP10,True,5,True
MMP13,True,5,True
MMP2,True,3,False
MMP3,True,3,False
MMP7,True,5,True
MS4A2,True,3,False
MSMB,True,3,False
MUC5B,True,4,False
MXRA5,True,5,True
NEK11,True,3,False
NELL2,True,3,False
NPR1,True,5,True
OGN,True,3,False
P2RY1,True,3,False
PAPSS2,True,5,True
PDGFRA,True,5,True
PEBP4,True,5,True
PECAM1,True,3,False
PGC,True,3,False
PLA2G1B,True,3,False
PLA2G4F,True,3,False
PLLP,True,4,False
PLOD2,True,3,False
POSTN,True,3,False
PPP1R14A,True,3,False
PROK2,True,3,False
PRSS12,True,3,False
PSD3,True,5,True
PTPRB,True,5,True
S100A12,True,5,True
S100A8,True,5,True
SACK1D,True,3,False
SCN7A,True,5,True
SERPINB3,True,3,False
SERPIND1,True,5,True
SERPINI2,True,3,False
SFRP2,True,3,False
SFRP4,True,3,False
SFTPA2,True,3,False
SLAMF7,True,4,False
SLC27A2,True,3,False
SLC39A8,True,5,True
SLC6A4,True,3,False
SLCO2A1,True,3,False
SLCO4A1,True,5,True
SLN,True,4,False
SMAD6,True,3,False
SMAD7,True,3,False
SOX2,True,3,False
SPARC,True,3,False
SPP1,True,3,False
STX11,True,3,False
SULF1,True,5,True
SYNPO2,True,3,False
SYTL2,True,3,False
TAMALIN,True,3,False
TDO2,True,3,False
TGFB2,True,3,False
THBS1,True,3,False
THBS2,True,3,False
THY1,True,5,True
TIMP2,True,3,False
TIMP3,True,3,False
TLR2,True,3,False
TMEM100,True,3,False
TMEM45A,True,5,True
TMPRSS4,True,5,True
TNNC1,True,3,False
TP63,True,5,True
TRIM2,True,5,True
TSPAN1,True,3,False
VCAM1,True,3,False
VIPR1,True,3,False
VSIG1,True,5,True
WDR49,True,3,False
WNT5A,True,3,False
ZBTB16,True,3,False
ZBTB7C,True,3,False
ZKSCAN1,True,3,False
