run,success,core_gene_count,elapsed_seconds
1,True,403,470.9
2,True,404,416.7
3,True,402,363.5
4,True,404,358.9
5,True,407,364.4
6,True,400,362.5
7,True,399,369.7
8,True,402,367.9
9,True,397,373.2
10,True,400,373.9
11,True,393,375.1
12,True,404,376.6
13,True,404,370.4
14,True,398,369.8
15,True,400,364.2
16,True,401,368.8
17,True,389,373.6
18,True,407,364.5
19,True,401,374.4
20,True,398,371.8
21,True,406,365.6
22,True,397,376.7
23,True,402,370.0
24,True,401,367.0
25,True,395,370.3
26,True,408,369.5
27,True,396,368.9
28,True,400,368.6
29,True,400,371.8
30,True,403,366.2
31,True,399,375.5
32,True,401,363.9
33,True,406,367.8
34,True,404,363.8
35,True,398,365.9
36,True,401,365.1
37,True,399,366.5
38,True,403,366.5
39,True,396,363.5
40,True,403,369.8
41,True,410,370.5
42,True,404,363.1
43,True,393,366.9
44,True,407,365.9
45,True,395,362.8
46,True,401,360.2
47,True,402,361.2
48,True,404,356.1
49,True,394,366.0
50,True,408,358.8
